Date,Newspaper,Headline,News
6-Jun-18,City AM,Takeover battle looms as government gives green light to Sky-Fox merger,"CULTURE secretary Matt Hancock said yesterday that a mega-merger between Sky and Fox could go ahead so long as Sky News is divested to Disney or another firm. If an ""acceptable form of remedy"" can be found, the minister said he would wave the deal through. Hancock said he agreed with the Competition and Markets Authority (CMA) that there were concerns about the ""potential erosion of Sky News' editorial independence, which could in turn lead to a reduction in the diversity of viewpoints available to and consumed by the public"". He also raised a flag over the ""possibility of an increased influence of the Murdoch Family Trust over public opinion and the UK's political agenda"". Rupert Murdoch's 21st Century Fox launched a 1,075p-a-share bid to buy all of Sky in December 2016, but the takeover has been held up by politicians and regulators who fear it could give him too much sway when combined with his newspaper interests. US giant Comcast took advantage of the delay to make its own move on Sky, with a 1,250p-a-share bid in April, trumping the Fox offer. Hancock also told MPs yesterday that he had received no further representations on the proposed Comcastmerger, and confirmed he would not be issuing an intervention notice. Shares in 21st Century Fox closed up 0.8 per cent last night at $38.74."
5-Jun-18,City AM,French bank Societe settles legal actions,"FRENCH banking giant Societe Generale yesterday announced the settlement of US and French legal actions for allegedly rigging the Libor benchmark rate and for questionable transactions with Libyan parties, as reported interest in a merger from Italy's Unicredit boosted demand for shares. The settlements will be within the €1bn (£870m) provisions the bank has already set aside for the two probes, SocGen said, subject to judicial approval. In March SocGen's deputy chief executive was forced to quit the bank, with the investigation into rigging of the money market benchmark London Interbank Offered Rate (Libor) reportedly a key reason for his departure. On the Libyan front SocGen last year paid €963m to the Libyan Investment Authority, which had accused it of corruption. The settlements remove an obstacle to the reported plans by Italian banking group Unicredit to pursue a merger with SocGen to create a European banking behemoth. Analysts agreed on the logic for the move, reported by the Financial Times, but questioned whether a merger could happen in the near term. The report ""does not come completely out of the blue"", according to analysts at Jefferies investment bank. However, political instability in Italy and regulatory unease over the size of the two banks are ""a significant hurdle to deliver an attractive deal"". Both banks are global systemically important banks, meaning authorities are likely to scrutinise any merger deal closely for risks to the European financial system."
5-Jun-18,City AM,Payments giants Nets and Concardis in multi-billion pound mega-merger,"AFTER a flurry of private equity interest in the sector, two of Europe's largest payments businesses - Nets and Concardis - will merge in a multi-billion pound deal. The two firms said yesterday at the fintech conference Money 20/20 that Concardis would merge with Nets to form a company with €1.3bn (£1.1bn) of annual net revenue. Private equity giants Advent and Bain, who own Germany-based Concardis, will swap their holdings in Concardis for Nets shares. Their peer Hellman & Friedman, which backs the Scandinaviaheadquartered Nets, will see its holding diluted. ""We want to shape the ongoing consolidation in the European payments industry and further drive our pan-European expansion,"" said Nets' CEO Bo Nilsson. ""Germany offers attractive growth potential due to market size, consumer spending and the fact that around 75 per cent of all payment transactions are still cash-based."" Nilsson will lead the combined group, while Robert Hoffman will continue at the helm of Concardis reporting directly to him. The two firms will retain their respective brands. Advent and Bain formerly owned Nets as well as Concardis, before floating the business in 2016. Hellman & Friedman took it private again earlier this year, though Advent and Bain remained minority investors which likely helped to usher the merger through. Payments companies have been forced to consolidate, as increased regulation has spurred them to invest in compliance. Worldline bought Switzerland's Six Payment Services in May, and London-based fintech investor Anacap bought Heidelpay last year."
5-Jun-18,City AM,DS Smith targets Spanish rival in £1.5bn takeover,"585 580 575 570 565 560 555 550 SHARES in FTSE 100 packaging company DS Smith hit an all-time high yesterday after it revealed a that a Spanish-listed rival was the latest addition to its buying streak. The offer for Europac values the entire share capital at €1.7bn (£1.5bn), with an implied enterprise value of €1.9bn. The business is 42 per cent family owned, but the board has already indicated its interest in the bid. Shares in DS Smith hit a high of 583p following the announcement, before closing at 579.2p. It has received pledges from almost 59 per cent of Europac shareholders to accept the takeover, including the executive chair and executive vice chair. DS Smith said yesterday the acquisition will give the enlarged company an enhanced offer in a key region and stronger supply chain. Joshua Mahoney, a market analyst at IG, said the rise of home delivery provided extensive opportunities for the combined companies. ""With internet shopping continuing to take prominence over physical sales, demand for packaging is only likely to grow, meaning the £43m worth of synergies laid out for this deal could only be the beginning,"" he said. It comes just a few weeks after the company announced its bid for an American corrugated card firm. DS SMITH 585 P580 575 579.20 570 4 June 565 560 555 550 29May 30 May 31May 1June 4 June"
4-Jun-18,City AM,CYBG ups offer to merge with Virgin Money,"THE OWNER of Clydesdale and Yorkshire banks CYBG has tabled a revised offer to merge with Virgin Money and form a challenger worth £4bn. The offer was confirmed in a joint statement from the two companies last night, who added that they had reached an agreement with the Panel on Takeovers and Mergers to extend the deadline on a takeover decision to 18 June. Previously, CYBG had been required by takeover law to make a firm offer of intent before 5pm today. Both companies said they believed the deal would create the UK's ""first national banking competitor"", offerring both personal and SME customers an ""enhanced alternative to the incumbent banks."" News of CYBG's interest in Virgin Money originally surfaced at the start of May when the firm made a preliminary approach valuing the company at £1.6bn, with an offer of 1.1297 of its shares for each Virgin Money share. The new bid offers 1.2125 new CYBG shares for every Virgin share, also valuing the company at around £1.6bn, giving Virgin Money shareholders 38 per cent ownership of the combined group. Virgin Money's board noted that the second offer was a seven per cent increase on the exchange rate of CYBG's offering last month. Both lenders said they recognised: ""the potential for accelerated value creation"" through the merger of the two groups. Earlier yesterday Sky News reported the news that CYBG had put in a higher bid, quoting sources who said the two sides were holding ""positive discussions"". If the companies decide to merge, it would create a personal and SME banking group with 6m customers and a £70bn balance sheet."
4-Jun-18,City AM,Alteri closes in on troubled Poundworld,"BUDGET retailer Poundworld is close to a rescue deal with private equity buyout fund Alteri Investors, in a move which could kick off a major reorganisation of the company. Alteri, which is backed by Apollo Management, is finalising terms of a takeover according to reports by Sky News over the weekend. The deal is set to involve a nominal sum being paid for Poundworld to TPG, its current owner, and creditors. But the takeover is not expected to halt the plans to close as many as 100 stores. Once Alteri takes control it is expected to immediately launch the restructuring programme, the latest in a series of company voluntary arrangements (CVAs). Some 1,500 of Poundworld's 5,300 staff are likely to lose their jobs as a result of the process, which will be overseen by Deloitte. This will add to thousands of closures on the high street so far this year, putting 2018 on course to be the worst year for closures since 2008. It is the second time this year that a company backed by private equity firm TPG Capital has turned to a CVA, after restaurant chain Prezzo passed plans to close nearly 100 sites. House of Fraser is also on course to slash its portfolio, after announcing its own CVA. This is expected to launch in the next two weeks. Meanwhile this week saw the approval of two more: Mothercare and Carluccio's. But there are signs that the wave of CVAs is beginning to cause tension in the wider retail industry, with Next demanding rent cuts on par with its struggling neighbours and M&S joins the battle against rising high street rents."
4-Jun-18,City AM,Bayer launches cash call to fund Monsanto deal,"BAYER launched a €6bn (£5.24bn) rights issue yesterday, a cornerstone of the financing package for its planned $62.5bn (£46.8bn) takeover of seeds maker Monsanto. Bayer last week won US approval for the Monsantotakeover, clearing a major hurdle for a deal that will create by far the largest seeds and pesticides maker. The cash call is smaller than initially envisaged by Bayer because Monsanto reduced its debt while the antitrust review dragged on. Also, Bayer raised €4.5bn more from selling down its stake in plastics maker Covestro than initially expected. The German drug maker also grossed €7.6bn in proceeds from selling assets to BASF, as the antitrust reviews were stricter than anticipated, but that did not cut the need to raise money via a share issue because future cash flows to service debts would also be lower. When the merger was agreed in September 2016, Bayer said it would raise $19bn worth of fresh equity capital for the takeover deal, parts of which was covered by issuing €4bn in mandatory convertible notes in November 2016. Bayer has said it would close the transaction very soon, which it needs to do because Monsanto could withdraw from the takeover agreement and seek a higher price after 14 June. Bayer is set to close the transaction on 7 June, according to a media report yesterday. Bayer will create an agricultural supplies giant with sales of about €20bn, based on 2017 figures, when taking into account the divestments. At current foreign exchange rates, that compares to about €12.4bn at DOWDUPONT's Corteva Agriscience unit, €11bn at ChemChina's Syngenta and €7.9bn at BASF, including businesses to be acquired. The Bayer-Monsanto tie-up has kept being pushed back. Last September Bayer told shareholders it expected to complete the transaction in ""early 2018"", and previously it had guided that it would tie up the deal by the end of 2017."
4-Jun-18,City AM,Smurfit readies for last-ditch bid from US rival,"THIS week could be a momentous one for cardboard packaging company Smurfit Kappa, which is currently the target of one of the biggest live takeover bids in the FTSE 100. The business, which tore up an €8.9bn (£7.8bn) takeover bid in March from US packaging firm International Paper (IP), could have to fend off one last takeover attempt as the deadline for its suitor to make a final bid approaches. Memphis-based IP, whose advances have so far been rejected by Smurfit's boss Anthony Smurfit as ""fundamentally undervaluing"" the business, has until Wednesday to either lay a final bid on the table or be banned from approaching the company for another year. However, City sources have speculated that a rival bid could be in the pipeline, as City A.M. understands that FTSE 100-listed Mondi has also appointed bankers to explore further deals. Smurfit has been urged by a number of its investors, including asset manager Janus Henderson, to hold talks with IP, but has so far refused. ""The board is resolute in its belief that the best interests of the group's stakeholders are served by pursuing its future as an independent company,"" said the business, which operates in 35 countries. Janus Henderson has indicated that it would not support an offer below €40 per share. IP's last increased offer was of €25.25 in cash and 0.3 IP shares, which gave a combined total of around €37 per share. However, some analysts have warned that IP should be wary of scaling up its offer too much, since it might not be able to make the necessary savings from the deal. ""One of the primary concerns investors have had since the news about IP's initial approach broke was that the synergy opportunities weren't obvious given the lack of geographic overlap,"" said KeyBanc Capital Markets analyst Adam Josephson. Smurfit's shares climbed almost 27 per cent on news of the original bid. The Irish company also completed its own €460m deal last month in an attempt to detract from the siege. It announced it had agreed to acquire Reparenco, a paper business in the Netherlands which owns a 675,000 tonne capacity mill. Online shopping has helped to boost demand for packaging businesses such as Smurfit, and those such as USheadquartered IP have been looking to wangle a larger foothold in the booming European market."
4-Jun-18,City AM,Sorrell will find it harder to grow his second empire,"THE NEWS that Martin Sorrell has re-entered the ad industry via the takeover of a littleknown shell company, Derriston Capital (set to be renamed S4 Capital), naturally has echoes of his acquisition of a wire, paper, and plastics firm in 1985. Of course, that firm is now WPP, one of the world's largest ad agencies, from which Sorrell was ousted as chief executive just over seven weeks ago. The most interesting challenge that Sorrell now faces is building a next-generation marketing group without doing too much (further) damage to WPP, where he still remains a significant shareholder. To start with, he will need a clear platform acquisition, either in the UK or US, which provides access to a range of capabilities, growth, and a level of cash flow. However, the circumstances of that acquisition differ greatly from his initial acquisitions back in the early days of WPP, where he notably acquired JWT - a business 13 times the size of his own. In fact, within its first two years, WPP made 16 acquisitions - something that he is unlikely to be able to repeat in 2018. First, tech and digital businesses enjoy notoriously high valuations, so it's going to be financially more challenging. Second, the market is far more competitive. The likes of Facebook, Google, and even the consultancies are threats Sorrell didn't have to consider back in 1985, and they will ensure it's critical for him, personally as much as anything, to get the first acquisition right. Through his own personal brand and extensive network, he is not likely to find it difficult to identify potential acquisition targets. However, the combination of relatively limited amounts of money being available to his new firm, his likely desire to bring together more than one discipline, and a far more competitive market will mean potential targets that meet the criteria will be fewer and further between than might initially be expected. So what will he be looking for? As well as the access to data, analytics, and content that he has referenced, strategic, channel planning, and performance marketing capabilities will also be key. Widespread disruption within all sectors, from entertainment to retail, means the ability to deliver agile, multidisciplinary (but digitally-centric) marketing solutions is being readily demanded by brands, small or large. Any acquisition will need to demonstrate that offering. With this in mind, the greatest chance that S4 has is if Sorrell can build something smaller and more perfectly formed than WPP, which found that its size had started to work against itself, with silos and organisational barriers (such as incentive schemes) getting in the way of collaboration. While the early acquisition strategy of WPP was right - to blend marketing services under one roof providing an easy one-stop-shop for brands - it increasingly lacked agility, and instead offered a service that began to reflect its structures, rather than the needs of its clients. And today, clients are no longer looking for a one-stop-shop solution, but rather a flexible team designed around their specific needs. This team must provide high-quality strategy and creative frameworks that can be consistently executed across channels, while leveraging data and technical innovations where appropriate. Thus, I would expect a much more entrepreneurial model to emerge from S4 that focuses on putting multi-disciplinary solutions together at an agency or country level - rather than holding company - therefore ensuring that they are designed around current client demands, not legacy agency structures. £ Peter Reid is chief executive of MSQ Partners."
31-May-18,City AM,Phoenix starts £950m issue for insurance deal,"SPECIALIST insurer Phoenix announced a £950m rights issue yesterday which is intended to fund its £3.2bn purchase of Standard Life Aberdeen's insurance arm. Phoenix will pay Standard Life Aberdeen £1.97bn upon completion of the deal to acquireStandard Life Assurance Limited (SLAL), which excludes a dividend of £312m paid by SLAL to Standard Life Aberdeen prior to completion. Standard Life Aberdeen will take a nearly 20 per cent stake in the enlarged group. The rights issue, which will help fund the deal, will result in the issue of 183,522,385 new shares, representing approximately 46.7 per cent of the existing share capital of Phoenix. The rights issue will be on the basis of seven new shares at 518p per new share for every 15 existing shares. The underwriters for the deal are banks HSBC, Merrill Lynch International, JP Morgan Securities and BNP Paribas. On Tuesday Standard Life Aberdeen revealed plans to return £1.75bn to its shareholders following the sale of SLAL to Phoenix. However, the plan failed to impress investors with its share price falling 2.5 per cent on Tuesday following the announcement. Standard Life's shares closed flat on the news yesterday. Under the terms of the deal Standard Life Aberdeen and Phoenix will continue to collaborate with Aberdeen Standard Investments continuing as Phoenix's main asset management partner. Phoenix has also granted Aberdeen a first right of refusal for investment management mandates on new assets. Standard Life Aberdeen's shareholders will vote on the deal next month."
30-May-18,City AM,"Tandem Bank hits milestone of 100,000 users after troubled year","TANDEM Bank yesterday announced hitting 100,000 customers just three months after launching its first product, with approximately 82 per cent of that number using their accounts monthly The news is welcome for Tandem, after experiencing a tumultuous 2017 as a result of a failed fundraise. However in January this year it purchased Harrods Bank, and acquired a full banking licence in the process. As a result of the purchase, Tandem also gained Harrods Bank's 11,000 customer accounts, as well as £80m of capital, and over £350m in deposits. The bank currently offers one 0.5 per cent cashback credit card product and a fixed saver account, with an instant access product planned for release later this year. Across its three fixed saver tiers, Tandem has said it currently holds more than £10m in deposits from its users. It also recently acquired money management startup Pariti, which helps users get a view of their finances by aggregating their bank accounts into one app. Tandem boss Ricky Knox said: ""There is a lot of noise surrounding the legacy banks moving into the digital only challenger market, which is great. However, we are moving at twice the pace and as a small agile organisation we are accelerating as we speak."""
30-May-18,City AM,Brand new: How to grow your business post-merger,"Up to 90 per cent of M&A deals end in failure - so here're some tips for Sainsbury's and Asda LET'S face it, apart from shareholders, no one is keen on a merger. Customers often fear choice reduction, staff fear job losses, and in the case of Sainsbury's and Asda, the supply chain fears increased price pressure. So what makes a successful merger? It's a timely question given that M&A activity is at an all-time high, partly driven by the weakened pound and low valuations for UK businesses. Both Asda and Sainsbury's have bold, fully-established brands where customers know what to expect when they walk into a store. That means these two supermarket giants have a different set of challenges to most brands post-merger, where a new brand is created (Dixons Retail + Carphone Warehouse = Dixons Carphone), or one swallows the other whole and the parent brand needs redefining (Morrisons + Safeway = Morrisons). With this in mind, I'd advise any merger and integration team to consider the following. MEETING OF MINDS While many mergers are about market dominance, the best are a deeper meeting of minds. Think Microsoft and LinkedIn, or Disney and 21st Century Fox. Establishing common themes, cultures, and styles of leadership will help you set the foundations to build a common philosophy and customer proposition. It's a chance to become more than the sum of your parts from the outset. THE FUTURE IS NOW It's important for businesses to fight the urge to focus on short-term to-do lists, and instead to be radical. Ask ""how big is our future?"" and work backwards from there. That's the way Amazon's been thinking, with diverse acquisitions from grocery chain Whole Foods to video streaming platform Twitch. NO NAVEL-GAZING Many big mergers get called off lastminute (remember Kraft Heinz and Unilever last year?), leaving both businesses suddenly behind their competition. This is often due to eyes on both sides focusing on internal ambitions and impending operational realities. What's missing is external perspective. Keep an eye on global trends, and cultivate curiosity. UNITE THE CLANS A new venture needs a narrative that works as a rallying cry for its new, combined workforce - even when the brands remain standalone. For Sainsbury's and Asda, this should be relatively simple from a slogan perspective. Asda's ""Save Money. Live Better"" slogan speaks well to Sainsbury's ""Live Well For Less"", providing a cohesive narrative for the two to drive towards a united future. NEW LOOK? Not every merger needs a radical brand overhaul, but as a business hones its story, assess whether it best represents what it wants to tell customers. A merger is an opportunity to present a fresh identity to the world. Ultimately, every merger is unique, and they represent a major turning point for businesses. I'll be interested to see how this latest deal fares, both as a shopper in my local Sainsbury's, and as a curious brand expert."
24-May-18,City AM,Barclays-StanChart plan rubbished by City analysts,"THE CITY yesterday rubbished suggestions that Barclays could merge with Asian-focused bank Standard Chartered, with analysts dubbing the idea ""far-fetched"", saying shareholders would be ""horrified"". Barclays' chairman John McFarlane has been tentatively exploring the move - which could create a £60bn sprawling giant - as the bank looks to fend off activist investor Ed Bramson, who is seeking to scrap its investment arm. The merger would be at odds with chief executive Jes Staley's strategy of focusing on the UK high street and pits the two executives against each other: according to a Financial Times report, McFarlane is keen to bring StanChart boss Bill Winters in as chief executive of the combined group. But City analysts poured scorn on the entire idea. ""If I discovered that they are in advanced discussions or anything of that nature I would fall off my chair,"" Investec analyst Ian Gordon told City A.M. ""Put simply, the numbers just don't add up."" The whole notion was ""farfetched"" and Barclays shareholders would be ""horrified"" if cash were used on M&A instead of Staley's muted share buybacks. Michael Hewson, chief markets analyst at CMC Markets, agreed the plan was unlikely. ""It sounds like dinner table talk - two chief executives chewing the fat over a beer and a steak. ""I can see the synergies but in terms of capital requirements it's a tall order, both banks are in the middle of restructuring programmes. There is not much in way of overlap but the extra capital they would have to raise makes any prospective deal difficult."" Artjom Hatsaturjants, research analyst at Accendo Markets, said investors should treat it ""sceptically"". ""As far as the rationale it makes sense to fend off some of the activist investor pressure, but whether this is the correct approach it is hard to say."" A Barclays spokesperson said: ""We don't comment on speculation."" A spokesperson for Standard Chartered said: ""We are entirely focused on executing our strategy, and do not comment on this type of speculation."""
22-May-18,City AM,Donald clinches £40m takeover of Sunderland,"INSURANCE tycoon and former owner of non-league Eastleigh Stewart Donald has taken control of Sunderland after effectively completing a £40m buyout of American businessman Ellis Short. Donald said the club, which has been relegated from the Premier League to English football's third tier in successive seasons, was now free of debt after previous owner Ellis Short agreed to write off more than £100m. The deal, first announced last month, is due to completed this week following ratification from the English Football League. ""We've given Ellis £40m, so that's the deal, and in return Ellis has tidied up his debt and that has now gone from the football club,"" said multi-millionaire Donald, 47. ""Ellis was very clear he didn't want the debt, but we didn't want the debt either so we refused that. The reality is Sunderland is debt-free which for the fans is good news."" Donald invested more than £7m into Eastleigh over six years, helping them rise to the fifth tier and redeveloping their stadium, but has given up ownership of the Hampshire outfit as a condition of his Sunderland takeover. The owner of Oxfordshire-based brokers Bridle Insurance had initially been set to lead an international consortium of investors in buying out Texan Short but has instead taken over personally, citing a desire to avoid delays that could affect the club's summer business. He was speaking at Monday's media conference alongside public relations guru Charlie Methven, who is expected to be named on the new board. Donald said he hoped to appoint a new manager within seven days, following the departure of former Wales boss Chris Coleman in April, and promised transfer funds to revive the ailing club's fortunes. ""The budget for Sunderland is going to be pretty hefty, and much more than of the teams that were promoted last season,"" he added."
21-May-18,City AM,There's more to come in the M&A pipeline,"Equity markets nearing all-time record highs, interest rates still low and a weak pound have created a cauldron for mergers and acquisitions (M&A) that analysts anticipate continuing while current market conditions persist. Two FTSE 100 companies have already been acquired this year, a third looks set to go and with two more facing bids, 2018 is already one of the busiest years for FTSE M&A in recent times. City A.M. asked analysts if they thought the M&A maelstrom would continue, which companies could be targeted next and if the current frantic dealmaking signalled a market that was nearing its peak. ""A possible bidding war for serviced offices provider IWG would be merely the latest takeover drama that has enlivened the UK stock market in 2018 - and in the process enriched investors, who could now be forgiven for trying to identify the next potential targets for a predator, especially as the latest decline in the pound means British assets are cheaper for overseas buyers,"" says Russ Mould, AJ Bell investment director. FTSE constituents GKN and Ladbrokes have both been acquired already this year by UK firms Melrose and GVC respectively. Sky finally received an approach from US-based Comcast, Smurfit Kappa is being bid on by New York-listed International Paper and the long pursuit of Shire by Japanese rival Takeda looks close to concluding. Laith Khalaf, senior analyst at Hargreaves Lansdown, argues another driving factor behind the hot market could be chief executives looking to close deals while money is still cheap. ""We are late in the cycle, so that tends to mean you get M&A. Combined with that, interest rates are climbing, the era of cheap money is coming to an end and if you are funding M&A activity via debt you are drinking in the last-chance saloon,"" he says. David Madden of CMC Markets agrees, adding: ""The cost of borrowing is going up and if you are funding [M&A] through borrowing you will want to get your skates on."" Mould argues that five further companies are ripe for a takeover approach: broadcaster ITV, challenger bank One-SavingsBank, energy company SSE, telecoms business TalkTalk and bookmaker William Hill. ITV, a perennial subject of takeover speculation, saw its share rise more than seven per cent on Friday after brokers tipped it as a potential target. Ken Odelunga, a market analyst at City Index, says: ""Logically you think it's the last one on the shelf - it has had some issues and it doesn't appear to have any channel towards newer forms of broadcast."" The challenger banking sector, which has failed to shake-up the banking market in the way that some predicted, is also one that analysts say could see further dealmaking. Clydesdale and Yorkshire Banking Group has launched a £1.6bn bid for Virgin Money and Aldermore agreed a deal with First Rand in November. Madden says: ""It is tough for those guys, the regulatory demands for some of them are a little bit too onerous and there is switching inertia."" In the energy sphere, Mould argues that SSE may be a target if the proposed merger of its retail energy supply business with Npower's goes ahead. He also cites Talktalk as of possible interest in the hyper-competitive telecoms sector. Meanwhile William Hill's new chairman Roger Devlin said proposed legislation to cut the maximum stake for fixed-odds betting terminals (FOBTs) to £2 could leave the company vulnerable to a foreign takeover bid, according to reports last week. However, a US Supreme Court ruling on Monday that struck down legislation that restricted betting on sport sent bookmakers shares soaring, changing the likelihood of a successful approach."
17-May-18,City AM,Tharisa acquires 90pc shareholding in Salene as it moves into Zimbabwe,"CHROME miner Tharisa has gained access to rich chrome deposits after acquiring a 90 per cent shareholding in Salene Chrome Zimbabwe, making it the company's first step into the country, it said yesterday. Cyprus-based Tharisa will now have access to the Great Dyke mineral belt, of which Salene has area covering approximately 95 square kilometres. It acquired the stake from Leto Settlement Trust, which retained 10 per cent of the shareholding in Salene and will receive a three per cent royalty on all chrome sales. The Great Dyke deposit in Zimbabwe is the world's largest known source of platinum group metals and chrome, according to the company's statement. Up until now, the company has had its main operation in South Africa with its Tharisa Mine located in the Bushveld complex. Although the company's earnings have been affected by decreasing chrome prices and a higher rand, it announced that it would give a two cents maiden dividend. Tharisa announced in its financial results for the six months ending 31 March that its net profit fell by 44 per cent to $28.4m (£21m) but that both its chrome production and revenue had risen."
16-May-18,City AM,Lonmin mining merger awaits antitrust review,"THE COMPETITION and Markets Authority (CMA) said it will review the takeover by South African company Sibanye-Stillwater of platinum miner Lonmin to determine whether it would harm market competition. The £285m takeover would make it the second largest platinum producer in the world, second only to Anglo American Platinum. The deal, which is set to close later this year, has not yet been approved by either company's shareholders and depends on approval from both the CMA and the South African market competition authority. Lonmin, which has suffered a substantial financial decline recently, said on Monday it plans to cut annual spending. This will lead to 1,500 redundancies within the company and could potentially put another 12,600 jobs at risk over the next three years. Sibanye-Stillwater said that if Lonmin did not stabilise its finances by the time the deal is set to close, it would not go ahead with it. Yesterday, Lonmin's share price fell by four per cent and Sibanye-Stillwater's by more than five per cent on news of the antitrust probe. Sibanye-Stillwater made an allshare offer in December of last year offering 0.967 new shares in the company for every Lonmin share. Shore Capital analyst Yuen Low told City A.M. he thought the merger would decrease competition significantly as both Lonmin and Sibanye-Stillwater are each responsible for a large bulk of the world's platinum production. However, he added: ""I am leaning towards approvals from the South African and UK competition authorities, because Lonmin going bust would be even worse for competition. This is not to say that the CMA approval process will necessarily prove straightforward."" ""The CMA might decide to investigate in more depth and/or kick an unfavourable finding 'upstairs' to the relevant secretary of state for a final decision. ""For its part, Lonmin will clearly be hoping for 'straightforward' transaction clearance on 10 July,"" he continued."
15-May-18,City AM,Platinum miner cutting spending as takeover nears,"PLATINUM mining giant Lonmin yesterday announced it will cut spending and job roles after net cash fell 77 per cent, but said it still set to be bought by Sibanye-Stillwater. The company's net cash decreased from $75m (£55m) last March to only $17m in the six months to 31 March, it said in results out yesterday. While the total tonnes of platinum mined was only marginally down from last year, with a 1.1 per cent decrease, the company was particularly affected by lower platinum prices. As a result of the loss, Lonmin said it will cut its annual spending target, which will include letting go of 1,504 company employees. The company's share price rose 7.44 per cent by the close, to 52.15p. Lonmin, which is the world's third largest producer of platinum, said because of the difficult operating environment caused by the low platinum prices, it may have to continue to cut spending. It added that this could affect 12,600 jobs over the next three years on top of the redundancies it has already had to make. Sibanye-Stillwater, the company seeking to take over Lonmin, has said that it will walk away from the deal if it turns out that Lonmin does not have the net cash required when the deal is set to close later this year. Nevertheless, Lonmin has said that the takeover is set to continue as planned. The offer made by Sibanye-Stillwater of a £285m takeover is yet to be approved by both companies' shareholders and is still awaiting approval from both the UK and South African competition authorities before Lonmin can go ahead with the takeover. Chief executive of Lonmin, Ben Magara, said: ""The Lonmin team remains focused on operational excellence, and dealing successfully with tougher conditions that currently face our entire industry. ""As is typical of transactions of this nature [Sibanye-Stillwater deal], our focus remains on minimising disruption to the business as we move towards completion. We have to remain cash vigilant in order to maintain a resilient business, ready for the next era."""
15-May-18,City AM,IWG share price leaps 20pc after takeover talks,"SHARES in serviced office firm International Workplace Group (IWG) jumped more than 22 per cent yesterday after it was revealed that the company was in talks for a full-share takeover. The company confirmed on Friday that it had interest from three separate private equity firms: Lone Star, Starwood Capital and TDR Capital over the potential sale. ""The board is evaluating the possible offers with its financial advisers and shareholders will be updated in due course,"" the statement explained. A FTSE 250-listed company, IWG is valued at around £2.1bn and posted profits of £149.4m last year. However, a profit warning last year led to a takeover attempt from Canadian property group Brookfield, though the £2.4bn bid was eventually rejected. Lone Star, Starwood and TDR will now have until 8 June to announce a firm offer or drop their bid for a takeover. The company has faced increased competition from flexible office space companies like WeWork and UK startup The Office Group. Announcing its first-quarter results earlier this month, the company said that it would ""continue to invest in our national networks to maintain our clear industry leadership""."
9-May-18,City AM,Watchdog turns up the heat on Npower-SSE deal,"THE UK'S competition authority has said it will launch a full investigation into the proposed merger of energy firms Npower and SSE, after they failed to address concerns about the impact on competition and prices for consumers. The firms announced a deal in November in which Britain's second-largest supplier, SSE, would merge and spin off its household energy and supply business to create an independent supplier with Innogy's Npower. Last month the Competition and Markets Authority (CMA) said the deal ""warrants further scrutiny"". Yesterday the watchdog said neither firm had been able to offer measures to address its concerns, and so it has referred the merger for a more in-depth investigation. A decision on the merger will now be made by a group of independent panel members supported by CMA staff. The deadline for the final report is 22 October. The energy market has already been in the spotlight over a lack of competition following an in-depth report by the CMA which said customers were paying £1.4bn more than they would in a fully competitive market. The government is poised to introduce a price cap on default energy tariffs as early as Christmas in a bid to tackle what it calls a ""broken"" market."
